127.0.0.1 - - [24/Nov/2019:11:07:12 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:07:13 +0900] "GET /recipe_project/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:07:14 +0900] "GET /recipe_project/member/login/form HTTP/1.1" 200 3078
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:07:14 +0900] "GET /recipe_project/css/signin.css HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:07:14 +0900] "GET /recipe_project/member/css/signin.css HTTP/1.1" 500 1557
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:07:14 +0900] "GET /recipe_project/member/css/bootstrap.min.css HTTP/1.1" 500 1557
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:07:14 +0900] "GET /recipe_project/member/js/ie-emulation-modes-warning.js HTTP/1.1" 500 1557
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:07:14 +0900] "GET /recipe_project/css/bootstrap.min.css HTTP/1.1" 200 155764
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:07:14 +0900] "GET /recipe_project/js/ie-emulation-modes-warning.js HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:07:14 +0900] "GET /recipe_project/member/js/ie10-viewport-bug-workaround.js HTTP/1.1" 500 1557
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:07:14 +0900] "GET /recipe_project/member/js/bootstrap.min.js HTTP/1.1" 500 1557
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:07:14 +0900] "GET /recipe_project/js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:07:14 +0900] "GET /recipe_project/js/bootstrap.min.js HTTP/1.1" 200 58078
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:07:14 +0900] "GET /recipe_project/images/logo.png HTTP/1.1" 200 4138
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:09:40 +0900] "GET /recipe_project/member/login/form HTTP/1.1" 200 3254
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:09:40 +0900] "GET /recipe_project/member/css/signin.css HTTP/1.1" 500 1557
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:09:40 +0900] "GET /recipe_project/member/css/bootstrap.min.css HTTP/1.1" 500 1557
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:09:40 +0900] "GET /recipe_project/images/logo.png;jsessionid=22E89E70E77C4C77E1C59AF0D8D7EFFE HTTP/1.1" 200 4138
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:09:40 +0900] "GET /recipe_project/member/js/ie-emulation-modes-warning.js HTTP/1.1" 500 1557
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:09:40 +0900] "GET /recipe_project/member/js/ie10-viewport-bug-workaround.js HTTP/1.1" 500 1557
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:09:40 +0900] "GET /recipe_project/js/ie10-viewport-bug-workaround.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:09:40 +0900] "GET /recipe_project/member/js/bootstrap.min.js HTTP/1.1" 500 1557
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:09:40 +0900] "GET /recipe_project/css/signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:09:40 +0900] "GET /recipe_project/js/ie-emulation-modes-warning.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:09:40 +0900] "GET /recipe_project/member/js/ie10-viewport-bug-workaround.js HTTP/1.1" 500 1557
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:09:40 +0900] "GET /recipe_project/member/js/bootstrap.min.js HTTP/1.1" 500 1557
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:09:40 +0900] "GET /recipe_project/member/images/favicon.ico HTTP/1.1" 500 1557
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:09:50 +0900] "POST /recipe_project/member/login;jsessionid=22E89E70E77C4C77E1C59AF0D8D7EFFE HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:09:50 +0900] "GET /recipe_project/main HTTP/1.1" 200 8307
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:09:50 +0900] "GET /recipe_project/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:09:50 +0900] "GET /recipe_project/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:09:50 +0900] "GET /recipe_project/js/extention/choices.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:09:53 +0900] "GET /recipe_project/recipe/list?category_id=30 HTTP/1.1" 200 13238
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:09:56 +0900] "GET /recipe_project/member/myPage?email_id=20170983%40dongduk.ac.kr HTTP/1.1" 200 6438
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:10:00 +0900] "GET /recipe_project/recipe/list?category_id=20 HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:10:04 +0900] "GET /recipe_project/recipe/list?category_id=10 HTTP/1.1" 200 13680
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:10:07 +0900] "GET /recipe_project/recipe/list?category_id=30 HTTP/1.1" 200 13238
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:10:10 +0900] "GET /recipe_project/recipe/list?category_id=0 HTTP/1.1" 200 8042
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:10:11 +0900] "GET /recipe_project/main HTTP/1.1" 200 8307
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:10:19 +0900] "GET /recipe_project/recipe/list?category_id=30 HTTP/1.1" 200 13238
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:10:25 +0900] "GET /recipe_project/recipe/view?recipe_id=104 HTTP/1.1" 200 8120
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:10:30 +0900] "GET /recipe_project/recipe/list?category_id=20 HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:10:32 +0900] "GET /recipe_project/recipe/list?category_id=30 HTTP/1.1" 200 13238
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:10:33 +0900] "GET /recipe_project/recipe/view?recipe_id=109 HTTP/1.1" 200 7378
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:10:35 +0900] "GET /recipe_project/recipe/list?category_id=10 HTTP/1.1" 200 13680
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:10:36 +0900] "GET /recipe_project/recipe/view?recipe_id=103 HTTP/1.1" 200 8419
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:10:47 +0900] "GET /recipe_project/recipe/list?category_id=0 HTTP/1.1" 200 8042
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:11:05 +0900] "GET /recipe_project/member/myPage?email_id=20170983%40dongduk.ac.kr HTTP/1.1" 200 6438
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:11:37 +0900] "GET /recipe_project/member/update?email_id=20170983%40dongduk.ac.kr HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:11:47 +0900] "POST /recipe_project/member/update HTTP/1.1" 200 5520
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:16:56 +0900] "GET /recipe_project/main HTTP/1.1" 200 8308
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:16:58 +0900] "GET /recipe_project/member/myPage?email_id=20170983%40dongduk.ac.kr HTTP/1.1" 200 6440
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:16:59 +0900] "GET /recipe_project/member/update?email_id=20170983%40dongduk.ac.kr HTTP/1.1" 200 2591
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:17:03 +0900] "POST /recipe_project/member/update HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:17:15 +0900] "POST /recipe_project/member/update HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:17:15 +0900] "GET /recipe_project/images/favicon.ico HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:24:04 +0900] "GET /recipe_project/main HTTP/1.1" 200 8307
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:24:06 +0900] "GET /recipe_project/member/myPage?email_id=20170983%40dongduk.ac.kr HTTP/1.1" 200 6438
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:24:07 +0900] "GET /recipe_project/member/update?email_id=20170983%40dongduk.ac.kr HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:24:12 +0900] "POST /recipe_project/member/update HTTP/1.1" 200 6440
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:24:30 +0900] "GET /recipe_project/recipe/list?category_id=30 HTTP/1.1" 200 13239
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:24:32 +0900] "GET /recipe_project/recipe/add/form?category_id=30 HTTP/1.1" 200 9545
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:24:32 +0900] "GET /recipe_project/css/addForm.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:24:32 +0900] "GET /recipe_project/js/addForm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:24:32 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:27:00 +0900] "GET /recipe_project/css/bootstrap.min.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:27:00 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:27:00 +0900] "GET /recipe_project/js/bootstrap.min.js.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:27:21 +0900] "GET /recipe_project/member/logout HTTP/1.1" 302 -
