127.0.0.1 - - [02/Dec/2019:16:30:09 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:30:10 +0900] "GET /recipe_project/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:30:11 +0900] "GET /recipe_project/member/login/form HTTP/1.1" 200 3129
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:30:11 +0900] "GET /recipe_project/css/signin.css HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:30:11 +0900] "GET /recipe_project/member/css/bootstrap.min.css HTTP/1.1" 500 1557
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:30:11 +0900] "GET /recipe_project/member/css/signin.css HTTP/1.1" 500 1557
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:30:11 +0900] "GET /recipe_project/member/js/ie-emulation-modes-warning.js HTTP/1.1" 500 1557
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:30:11 +0900] "GET /recipe_project/js/ie-emulation-modes-warning.js HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:30:11 +0900] "GET /recipe_project/css/bootstrap.min.css HTTP/1.1" 200 155764
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:30:11 +0900] "GET /recipe_project/member/js/ie10-viewport-bug-workaround.js HTTP/1.1" 500 1557
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:30:11 +0900] "GET /recipe_project/js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:30:11 +0900] "GET /recipe_project/member/js/bootstrap.min.js HTTP/1.1" 500 1557
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:30:11 +0900] "GET /recipe_project/js/bootstrap.min.js HTTP/1.1" 200 58078
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:30:11 +0900] "GET /recipe_project/images/logo.png HTTP/1.1" 200 4138
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:30:32 +0900] "POST /recipe_project/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:30:33 +0900] "GET /recipe_project/main HTTP/1.1" 200 8509
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:30:33 +0900] "GET /recipe_project/css/main.css HTTP/1.1" 200 21265
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:30:33 +0900] "GET /recipe_project/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:30:33 +0900] "GET /recipe_project/js/ie-emulation-modes-warning.js HTTP/1.1" 304 -
